"","location","date","new_cases","people_vaccinated","population"
"220","China",2021-02-03,49,31200000,1439323774
"1145","United States",2021-02-05,133558,28909497,331002647
"1144","United States",2021-02-04,123188,27905197,331002647
"1143","United States",2021-02-03,121469,27154956,331002647
"1142","United States",2021-02-02,114437,26440836,331002647
"1141","United States",2021-02-01,134339,26023153,331002647
"1140","United States",2021-01-31,111896,25201143,331002647
"1139","United States",2021-01-30,142091,24064165,331002647
"219","China",2021-01-31,95,2.4e+07,1439323774
"1138","United States",2021-01-29,166113,22858318,331002647
"218","China",2021-01-27,114,22767000,1439323774
"1137","United States",2021-01-28,168620,21698606,331002647
"1136","United States",2021-01-27,152478,20687970,331002647
"1135","United States",2021-01-26,146597,19902237,331002647
"1134","United States",2021-01-25,151095,19252279,331002647
"1133","United States",2021-01-24,131075,18502131,331002647
"1132","United States",2021-01-23,170138,17390345,331002647
"1131","United States",2021-01-22,190032,16243093,331002647
"1130","United States",2021-01-21,193055,15053257,331002647
"217","China",2021-01-20,221,1.5e+07,1439323774
"1129","United States",2021-01-20,182579,14270441,331002647
"1128","United States",2021-01-19,176984,13595803,331002647
"375","European Union",2021-02-05,146769,11475802,NA
"374","European Union",2021-02-04,107724,11324483,NA
"373","European Union",2021-02-03,137342,10990014,NA
"1111","United Kingdom",2021-02-04,20734,10971047,67886004
"372","European Union",2021-02-02,116130,10699773,NA
"1127","United States",2021-01-15,240707,10595866,331002647
"1110","United Kingdom",2021-02-03,19215,10490487,67886004
"371","European Union",2021-02-01,123312,10408840,NA
"370","European Union",2021-01-31,67196,10219343,NA
"369","European Union",2021-01-30,102815,10050899,NA
"1109","United Kingdom",2021-02-02,16906,10021471,67886004
"216","China",2021-01-13,180,1e+07,1439323774
"368","European Union",2021-01-29,163551,9894945,NA
"1126","United States",2021-01-14,234975,9690757,331002647
"1108","United Kingdom",2021-02-01,18668,9646715,67886004
"367","European Union",2021-01-28,126594,9600320,NA
"1125","United States",2021-01-12,226238,9327138,331002647
"1107","United Kingdom",2021-01-31,21190,9296367,67886004
"366","European Union",2021-01-27,159909,9220085,NA
"215","China",2021-01-09,128,9e+06,1439323774
"1124","United States",2021-01-11,213963,8987322,331002647
"1106","United Kingdom",2021-01-30,23400,8977329,67886004
"365","European Union",2021-01-26,129876,8722042,NA
"1105","United Kingdom",2021-01-29,29145,8378940,67886004
"364","European Union",2021-01-25,140212,8267196,NA
"1104","United Kingdom",2021-01-28,28811,7891184,67886004
"363","European Union",2021-01-24,79394,7890113,NA
"362","European Union",2021-01-23,104107,7634213,NA
"1103","United Kingdom",2021-01-27,25369,7476765,67886004
"361","European Union",2021-01-22,154195,7457613,NA
"1102","United Kingdom",2021-01-26,20167,7164387,67886004
"360","European Union",2021-01-21,150257,7034637,NA
"1101","United Kingdom",2021-01-25,22244,6853327,67886004
"1123","United States",2021-01-08,292044,6688231,331002647
"359","European Union",2021-01-20,174627,6606283,NA
"1100","United Kingdom",2021-01-24,30111,6573570,67886004
"1099","United Kingdom",2021-01-23,33652,6353321,67886004
"358","European Union",2021-01-19,135215,6174545,NA
"1122","United States",2021-01-07,276738,5919418,331002647
"1098","United Kingdom",2021-01-22,40321,5861351,67886004
"357","European Union",2021-01-18,135234,5756184,NA
"1097","United Kingdom",2021-01-21,37977,5383103,67886004
"1121","United States",2021-01-06,253917,5306797,331002647
"356","European Union",2021-01-17,102979,5227839,NA
"355","European Union",2021-01-16,85410,5050413,NA
"1096","United Kingdom",2021-01-20,38992,4973248,67886004
"354","European Union",2021-01-15,148386,4843863,NA
"1120","United States",2021-01-05,233526,4836469,331002647
"1095","United Kingdom",2021-01-19,33454,4609740,67886004
"1119","United States",2021-01-04,183790,4563260,331002647
"214","China",2020-12-31,87,4500000,1439323774
"353","European Union",2021-01-14,165974,4342397,NA
"1094","United Kingdom",2021-01-18,37610,4266577,67886004
"1118","United States",2021-01-02,300282,4225756,331002647
"1093","United Kingdom",2021-01-17,38670,4062501,67886004
"1092","United Kingdom",2021-01-16,41428,3837094,67886004
"352","European Union",2021-01-13,174504,3830849,NA
"1081","United Arab Emirates",2021-02-04,3249,3599374,9890400
"1091","United Kingdom",2021-01-15,55885,3559179,67886004
"589","Israel",2021-02-05,5238,3390398,8655541
"588","Israel",2021-02-04,6744,3371068,8655541
"351","European Union",2021-01-12,152866,3328976,NA
"1080","United Arab Emirates",2021-02-03,3977,3314517,9890400
"587","Israel",2021-02-03,8896,3299213,8655541
"586","Israel",2021-02-02,7732,3239952,8655541
"1090","United Kingdom",2021-01-14,48804,3234946,67886004
"1079","United Arab Emirates",2021-02-01,2730,3190777,9890400
"585","Israel",2021-02-01,8811,3169800,8655541
"584","Israel",2021-01-31,4646,3086831,8655541
"1078","United Arab Emirates",2021-01-31,2948,3084162,9890400
"143","Brazil",2021-02-05,50872,3074906,212559409
"142","Brazil",2021-02-04,56873,3073057,212559409
"583","Israel",2021-01-30,4798,3012493,8655541
"582","Israel",2021-01-29,5096,2977554,8655541
"581","Israel",2021-01-28,7305,2939784,8655541
"1089","United Kingdom",2021-01-13,47662,2918252,67886004
"350","European Union",2021-01-11,126646,2908104,NA
"1077","United Arab Emirates",2021-01-30,3647,2864167,9890400
"580","Israel",2021-01-27,4422,2857627,8655541
"1117","United States",2020-12-30,232016,2794588,331002647
"579","Israel",2021-01-26,3828,2776974,8655541
"1076","United Arab Emirates",2021-01-29,3962,2756606,9890400
"578","Israel",2021-01-25,15937,2696078,8655541
"1088","United Kingdom",2021-01-12,45648,2639309,67886004
"1075","United Arab Emirates",2021-01-28,3966,2618650,9890400
"577","Israel",2021-01-24,3442,2607966,8655541
"576","Israel",2021-01-23,4933,2537097,8655541
"141","Brazil",2021-02-03,56002,2521704,212559409
"1074","United Arab Emirates",2021-01-27,3939,2514450,9890400
"575","Israel",2021-01-22,6159,2496570,8655541
"349","European Union",2021-01-10,91667,2493101,NA
"574","Israel",2021-01-21,7027,2457905,8655541
